USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
mdkaif           11781   0.0  0.1 435353104  11232   ??  S     9:56PM   0:00.30 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
mdkaif           11680   0.0  0.0 435314272   2752 s004  S     9:56PM   0:00.63 -zsh
root             11679   0.0  0.1 435312144   6320 s004  Ss    9:56PM   0:00.03 login -pf mdkaif
mdkaif           11677   0.0  0.1 436178240   7760   ??  S     9:56PM   0:00.16 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/managedcorespotlightd
mdkaif           11643   0.0  0.7 1951162848  56480   ??  S     9:55PM   0:01.01 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.66/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=d1143224-5991-4082-9a0f-e66fdaa19a0e --extension-process --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=432 --launch-time-ticks=14035034145 --shared-files --metrics-shmem-handle=1752395122,r,9233988463414971240,2718170854860289411,2097152 --field-trial-handle=1718379636,r,5301326886038922230,3924660642898798531,262144 --disable-features=CastStreamingAv1 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,17654763889114016969,16788402315329195591,4 --trace-process-track-uuid=3190709391113950262 --seatbelt-client=222
mdkaif           11571   0.0  0.1 435354160   8960   ??  S     9:54PM   0:00.21 /System/Library/PrivateFrameworks/SessionCore.framework/Support/liveactivitiesd
mdkaif           11570   0.0  0.2 435527616  15568   ??  S     9:54PM   0:00.22 /System/Library/PrivateFrameworks/WorkflowKit.framework/XPCServices/ShortcutsViewService.xpc/Contents/MacOS/ShortcutsViewService
root             11515   0.0  0.0 435304672   3712   ??  Ss    9:53PM   0:00.14 /System/Library/CoreServices/TimeMachine/backupd-helper -launchd
mdkaif           11495   0.0  0.1 435353360  10304   ??  S     9:53PM   0:00.30 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
mdkaif           11491   0.0  0.3 435405200  21456   ??  S     9:53PM   0:21.95 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
