USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
mdkaif             852   0.0  0.1 435597856  11632   ??  Ss   11:42AM   0:00.18 /System/Applications/Clock.app/Contents/PlugIns/WorldClockWidget.appex/Contents/MacOS/WorldClockWidget -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5jbG9jay5Xb3JsZENsb2NrV2lkZ2V0IiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2UsInR5cGUiOjF9
mdkaif             850   0.0  0.2 435379328  20400   ??  Ss   11:42AM   0:03.89 /System/Library/CoreServices/Batteries.app/Contents/PlugIns/BatteriesAvocadoWidgetExtension.appex/Contents/MacOS/BatteriesAvocadoWidgetExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5CYXR0ZXJpZXMuQmF0dGVyaWVzQXZvY2Fkb1dpZGdldEV4dGVuc2lvbiIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlLCJ0eXBlIjoxfQ==
mdkaif             849   0.0  0.1 435343664   9456   ??  Ss   11:42AM   0:00.06 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetIntentsExtension.appex/Contents/MacOS/ScreenTimeWidgetIntentsExtension -AppleLanguages ("en-IN", "en-GB")
mdkaif             845   0.0  0.1 435340528   9168   ??  Ss   11:42AM   0:00.06 /System/Applications/Weather.app/Contents/PlugIns/WeatherIntents.appex/Contents/MacOS/WeatherIntents -AppleLanguages ("en-IN", "en-GB")
mdkaif             844   0.0  0.2 435420112  19696   ??  Ss   11:42AM   0:04.73 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetExtension.appex/Contents/MacOS/ScreenTimeWidgetExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5TY3JlZW5UaW1lV2lkZ2V0QXBwbGljYXRpb24uU2NyZWVuVGltZVdpZGdldEV4dGVuc2lvbiIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlLCJ0eXBlIjoxfQ==
mdkaif             840   0.0  0.2 435561008  20400   ??  Ss   11:42AM   0:13.12 /System/Applications/Weather.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUud2VhdGhlci53aWRnZXQifQ==
mdkaif             837   0.0  0.1 435297120   4528   ??  S    11:42AM   0:00.47 /usr/libexec/avconferenced
mdkaif             836   0.0  0.0 435305248   2256   ??  S    11:42AM   0:00.30 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
mdkaif             830   0.0  0.1 435359936  10368   ??  Ss   11:42AM   0:00.07 /System/Applications/Journal.app/Contents/PlugIns/JournalWidgets.appex/Contents/MacOS/JournalWidgets -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5qb3VybmFsLndpZGdldHMiLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MX0=
root               828   0.0  0.0 435339648   4192   ??  Ss   11:42AM   0:00.27 /usr/libexec/wifianalyticsd
mdkaif             826   0.0  0.1 435354720   8272   ??  Ss   11:42AM   0:00.06 /System/Applications/Shortcuts.app/Contents/PlugIns/ShortcutsWidgetExtension.appex/Contents/MacOS/ShortcutsWidgetExtension -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuc2hvcnRjdXRzLlNob3J0Y3V0c1dpZGdldCJ9
mdkaif             824   0.0  0.0 435341200   4128   ??  S    11:42AM   0:00.35 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
mdkaif             818   0.0  0.1 435571152   6736   ??  Ss   11:42AM   0:01.52 /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5pQ2FsLkNhbGVuZGFyV2lkZ2V0RXh0ZW5zaW9uIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2UsInR5cGUiOjF9
mdkaif             817   0.0  0.1 435355072   4832   ??  Ss   11:42AM   0:00.05 /System/Applications/Reminders.app/Contents/PlugIns/RemindersWidgetExtension.appex/Contents/MacOS/RemindersWidgetExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5yZW1pbmRlcnMuV2lkZ2V0RXh0ZW5zaW9uIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2UsInR5cGUiOjF9
mdkaif             803   0.0  0.1 435417824   6784   ??  Ss   11:42AM   0:00.12 /System/Applications/Notes.app/Contents/PlugIns/com.apple.Notes.WidgetExtension.appex/Contents/MacOS/com.apple.Notes.WidgetExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5Ob3Rlcy5XaWRnZXRFeHRlbnNpb24iLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MX0=
mdkaif             785   0.0  0.1 435411328   6512   ??  Ss   11:42AM   0:00.11 /System/Library/CoreServices/ControlCenter.app/Contents/PlugIns/DisplayControls.appex/Contents/MacOS/DisplayControls -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuY29udHJvbHMuZGlzcGxheSJ9
mdkaif             790   0.0  0.1 435367856  12224   ??  S    11:42AM   0:05.59 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
mdkaif             782   0.0  0.2 435586496  14928   ??  S    11:42AM   0:28.99 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
mdkaif             769   0.0  0.1 435339968   4704   ??  S    11:42AM   0:00.65 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
mdkaif             772   0.0  0.1 435308288   6880   ??  S    11:42AM   0:01.64 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
mdkaif             773   0.0  0.1 435451408  11552   ??  Ss   11:42AM   0:00.54 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.external.extra.arm64.xpc/Contents/MacOS/com.apple.dock.external.extra.arm64
mdkaif             768   0.0  0.7 436066160  62672   ??  S    11:42AM   0:44.00 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
mdkaif             767   0.0  0.1 435371136   9248   ??  Ss   11:42AM   0:02.08 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension -AppleLanguages ("en-IN", "en-GB")
mdkaif             733   0.0  0.0 435300112    416   ??  S    11:42AM   0:00.04 /bin/sh /opt/homebrew/opt/mysql/bin/mysqld_safe --datadir=/opt/homebrew/var/mysql
mdkaif             759   0.0  0.1 435339712   4544   ??  S    11:42AM   0:03.14 /System/Library/CoreServices/lockoutagent
mdkaif             743   0.0  0.5 435622992  38416   ??  S    11:42AM   0:23.48 com.apple.weather.menu
mdkaif             742   0.0  0.1 435348832  10096   ??  S    11:42AM   0:05.72 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
mdkaif             734   0.0  0.0 435338576   3584   ??  S    11:42AM   0:00.12 /System/Library/Image Capture/Support/icdd
mdkaif             723   0.0  0.1 435372064   7072   ??  S    11:42AM   0:01.73 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
mdkaif             746   0.0  0.2 435568128  13504   ??  S    11:42AM   0:03.52 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
mdkaif             741   0.0  0.1 435365520   7984   ??  S    11:42AM   0:00.59 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
mdkaif             731   0.0  0.0 435345056   4128   ??  S    11:42AM   0:00.22 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
mdkaif             717   0.0  0.1 435343888   5280   ??  S    11:42AM   0:00.43 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
mdkaif             711   0.0  0.2 435349040  14176   ??  S    11:42AM   0:04.67 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
mdkaif             707   0.0  0.0 435304800   3184   ??  S    11:42AM   0:00.11 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
_nearbyd           702   0.0  0.1 435351360   6320   ??  Ss   11:42AM   0:01.25 /usr/libexec/nearbyd
mdkaif             698   0.0  0.3 435768928  23056   ??  S    11:42AM   0:21.88 /usr/libexec/sharingd
_ctkd              696   0.0  0.0 435305312   2224   ??  Ss   11:42AM   0:00.07 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -st
mdkaif             692   0.0  0.1 435364160   9280   ??  S    11:42AM   0:08.15 /usr/sbin/usernoted
mdkaif             686   0.0  0.1 435357840  10080   ??  S    11:42AM   0:03.96 /usr/libexec/nsurlsessiond
mdkaif             681   0.0  0.1 435346112   5360   ??  S    11:42AM   0:00.61 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
mdkaif             676   0.0  0.2 437018416  12656   ??  Ss   11:42AM   1:20.98 /System/Library/ExtensionKit/Extensions/WallpaperAerialsExtension.appex/Contents/MacOS/WallpaperAerialsExtension -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUud2FsbHBhcGVyLmV4dGVuc2lvbi5hZXJpYWxzIn0=
root               673   0.0  0.1 435353904   8736   ??  Ss   11:41AM   0:14.24 /usr/libexec/gamepolicyd
mdkaif             656   0.0  0.1 435353680   7264   ??  S    11:41AM   0:04.22 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
mdkaif             675   0.0  0.1 435254400   4864   ??  Ss   11:42AM   0:00.66 /System/Library/ExtensionKit/Extensions/WallpaperImageExtension.appex/Contents/MacOS/WallpaperImageExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS53YWxscGFwZXIuZXh0ZW5zaW9uLmltYWdlIiwidHlwZSI6MSwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
mdkaif             669   0.0  0.1 435359280  10112   ??  S    11:41AM   0:03.22 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
root               659   0.0  0.0 435304944   2608   ??  Ss   11:41AM   0:00.13 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
_oahd              664   0.0  0.0 435305872   1376   ??  Ss   11:41AM   0:00.03 /usr/libexec/rosetta/oahd
mdkaif             661   0.0  0.2 435566000  19008   ??  S    11:41AM   0:03.16 /Applications/Unsplash Wallpapers.app/Contents/MacOS/Unsplash Wallpapers
mdkaif             660   0.0  0.3 435645056  26016   ??  S    11:41AM   0:24.37 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
mdkaif             658   0.0  0.3 435405696  23264   ??  S    11:41AM   0:20.56 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
mdkaif             655   0.0  0.1 435382000   7600   ??  S    11:41AM   0:21.06 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
mdkaif             649   0.0  0.1 435366608  12256   ??  S    11:41AM   0:06.99 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
mdkaif             652   0.0  0.1 435414768   7808   ??  S    11:41AM   0:04.58 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
mdkaif             647   0.0  0.0 435362848   3888   ??  S    11:41AM   0:00.44 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
mdkaif             646   0.0  0.1 435340624   5264   ??  S    11:41AM   0:00.73 /usr/libexec/ContinuityCaptureAgent server
_appleevents       627   0.0  0.0 435304848   1920   ??  S    11:41AM   0:00.60 /usr/sbin/distnoted agent
mdkaif             640   0.0  0.0 435351088   3168   ??  S    11:41AM   0:00.19 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
mdkaif             642   0.0  0.1 435339744   5280   ??  S    11:41AM   0:21.95 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
mdkaif             637   0.0  0.1 435340896   8768   ??  S    11:41AM   0:01.63 /System/Library/CoreServices/sharedfilelistd
root               636   0.0  0.0 435306544   1584   ??  Ss   11:41AM   0:00.17 automountd
mdkaif             626   0.0  0.1 435363760  10112   ??  S    11:41AM   0:18.53 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
mdkaif             628   0.0  0.2 435400912  14640   ??  S    11:41AM   0:38.25 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
root               624   0.0  0.1 435318448   5792   ??  Ss   11:41AM   0:03.54 /usr/sbin/filecoordinationd
mdkaif             616   0.0  0.1 435556960  11536   ??  S    11:41AM   0:01.21 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
mdkaif             614   0.0  0.1 435349088   9024   ??  S    11:41AM   0:06.73 /usr/libexec/secd
mdkaif             611   0.0  0.1 435522064   9072   ??  S    11:41AM   0:00.92 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
mdkaif             607   0.0  0.1 435394208  11216   ??  S    11:41AM   0:05.58 /usr/libexec/linkd
mdkaif             606   0.0  0.1 435354528   9392   ??  S    11:41AM   0:09.11 /usr/libexec/lsd
mdkaif             602   0.0  0.1 435321136   9344   ??  S    11:41AM   0:01.09 /usr/libexec/pboard
mdkaif             603   0.0  0.0 435338512   3712   ??  S    11:41AM   0:04.00 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
_nsurlsessiond     591   0.0  0.0 435304848   1936   ??  S    11:41AM   0:00.58 /usr/sbin/distnoted agent
mdkaif             593   0.0  0.1 435342224   9360   ??  S    11:41AM   0:04.34 /usr/libexec/UserEventAgent (Aqua)
mdkaif             600   0.0  0.1 435365952   8288   ??  S    11:41AM   0:02.99 /usr/sbin/universalaccessd launchd -s
_spotlight         585   0.0  0.0 435305216   1936   ??  S    11:41AM   0:00.59 /usr/sbin/distnoted agent
_mds_stores        578   0.0  0.5 442705024  43648   ??  Ss   11:41AM   1:30.38 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
mdkaif             577   0.0  0.0 435310512   4192   ??  S    11:41AM   0:20.97 /usr/sbin/cfprefsd agent
mdkaif             576   0.0  0.0 435305008   4048   ??  S    11:41AM   0:08.99 /usr/sbin/distnoted agent
_softwareupdate    574   0.0  0.0 435305408   1920   ??  S    11:41AM   0:00.59 /usr/sbin/distnoted agent
root               573   0.0  0.1 435340016   5040   ??  Ss   11:41AM   0:00.61 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
root               571   0.0  0.1 435365936   8240   ??  Ss   11:41AM   0:01.33 /usr/libexec/searchpartyd
_audiomxd          564   0.0  0.0 435304896   1936   ??  S    11:41AM   0:00.58 /usr/sbin/distnoted agent
_driverkit         567   0.0  0.0 435240304   1504   ??  Ss   11:41AM   0:00.52 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x100000ceb com.apple.AppleUserHIDDrivers
_driverkit         566   0.0  0.0 435239856    960   ??  Ss   11:41AM   0:00.03 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial com.apple.IOUserDockChannelSerial 0x100000cea com.apple.DriverKit-IOUserDockChannelSerial
_cmiodalassistants   556   0.0  0.0 435338080   3552   ??  Ss   11:41AM   0:00.15 /usr/libexec/cameracaptured
_cmiodalassistants   557   0.0  0.0 435339968   4096   ??  Ss   11:41AM   0:00.24 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
root               555   0.0  0.0 436579520   3872   ??  Ss   11:41AM   0:00.11 /Library/PrivilegedHelperTools/com.docker.vmnetd
root               554   0.0  0.1 435337648   6176   ??  Ss   11:41AM   0:10.01 /Library/PrivilegedHelperTools/com.muse.authservice
root               549   0.0  0.0 435306320   2800   ??  Ss   11:41AM   0:00.06 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
_cmiodalassistants   544   0.0  0.1 435344960   4512   ??  Ss   11:41AM   0:07.45 /usr/sbin/appleh13camerad
_modelmanagerd     543   0.0  0.1 435379456   4800   ??  Ss   11:41AM   0:00.74 /usr/libexec/modelmanagerd
_locationd         537   0.0  0.0 435305088   1936   ??  S    11:41AM   0:00.60 /usr/sbin/distnoted agent
root               535   0.0  0.0 435311456   2912   ??  Ss   11:41AM   0:12.28 /usr/libexec/audioclocksyncd
_appleevents       532   0.0  0.0 435339392   3600   ??  Ss   11:41AM   0:00.50 /System/Library/CoreServices/appleeventsd --server
_audiomxd          525   0.0  0.1 435339904   7728   ??  Ss   11:41AM   0:01.68 /usr/libexec/audiomxd
root               527   0.0  0.1 435341472   4432   ??  Ss   11:41AM   0:00.54 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
root               530   0.0  0.0 435340560   4000   ??  Ss   11:41AM   0:02.31 /usr/libexec/aned
_cmiodalassistants   521   0.0  0.0 435305168   1920   ??  S    11:41AM   0:00.58 /usr/sbin/distnoted agent
root               517   0.0  0.1 435340544   4736   ??  Ss   11:41AM   0:02.20 /System/Library/CoreServices/TimeMachine/backupd
_coreaudiod        515   0.0  0.1 435371664   5232   ??  Ss   11:41AM   0:00.04 Core Audio Driver (ParrotAudioPlugin.driver)
_networkd          497   0.0  0.1 435740064  11168   ??  Ss   11:41AM   0:18.41 /usr/libexec/symptomsd
root               498   0.0  0.0 435304912   2912   ??  Ss   11:41AM   0:00.04 /usr/libexec/ApplicationFirewall/socketfilterfw
root               496   0.0  0.0 435305936   2512   ??  Ss   11:41AM   0:00.58 /usr/sbin/mDNSResponderHelper
_analyticsd        423   0.0  0.1 435349600   9312   ??  Ss   11:41AM   0:05.65 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
root               490   0.0  0.0 435305728   2128   ??  S    11:41AM   0:00.64 /usr/sbin/distnoted agent
_locationd         375   0.0  0.2 435368224  14912   ??  Ss   11:41AM   0:59.82 /usr/libexec/locationd
root               487   0.0  0.1 435340160   8352   ??  Ss   11:41AM   0:02.37 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
_coreaudiod        463   0.0  0.0 435305248   1920   ??  S    11:41AM   0:00.65 /usr/sbin/distnoted agent
root               467   0.0  0.2 435425648  14624   ??  Ss   11:41AM   0:47.06 /usr/libexec/syspolicyd
root               457   0.0  0.2 435349696  16112   ??  Ss   11:41AM   3:13.41 /usr/libexec/airportd
_windowserver      436   0.0  0.0 435304816   1920   ??  S    11:41AM   0:00.64 /usr/sbin/distnoted agent
root               427   0.0  0.1 435343472   4448   ??  Ss   11:41AM   0:01.72 /usr/libexec/eligibilityd
_nsurlsessiond     420   0.0  0.1 435354880   7376   ??  Ss   11:41AM   0:06.77 /usr/libexec/nsurlsessiond --privileged
root               419   0.0  0.0 435304512   2336   ??  Ss   11:41AM   0:00.13 /usr/libexec/apfsd
root               417   0.0  0.1 435342144   5568   ??  Ss   11:41AM   0:01.89 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
root               416   0.0  0.1 435352336   5520   ??  Ss   11:41AM   0:05.19 /usr/libexec/lsd runAsRoot
_coreaudiod        409   0.0  0.1 435381664  11408   ??  Ss   11:41AM  12:54.97 /usr/sbin/coreaudiod
root               408   0.0  0.0 435325360   3312   ??  Ss   11:41AM   0:01.41 /System/Library/CoreServices/coreservicesd
_distnote          383   0.0  0.0 435305248   3136   ??  Ss   11:41AM   0:04.19 /usr/sbin/distnoted daemon
_corespeechd       350   0.0  0.0 435334464   1856   ??  Ss   11:41AM   0:00.02 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
_timed             371   0.0  0.0 435339696   3664   ??  Ss   11:41AM   0:01.25 /usr/libexec/timed
_usbmuxd           372   0.0  0.0 435349664   2512   ??  Ss   11:41AM   0:00.26 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
mdkaif             404   0.0  0.2 435702496  20304   ??  Ss   11:41AM   1:08.37 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
root               403   0.0  0.0 435305104   3568   ??  Ss   11:41AM   0:14.91 /usr/sbin/cfprefsd daemon
root               402   0.0  0.1 435361152   7760   ??  Ss   11:41AM   0:13.87 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd system
root               342   0.0  0.0 435305568   2416   ??  Ss   11:41AM   0:00.03 /usr/libexec/IOMFB_bics_daemon
root               388   0.0  0.0 435339664   3280   ??  Ss   11:41AM   0:00.19 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
root               385   0.0  0.2 435344944  13360   ??  Ss   11:41AM   1:26.73 /usr/libexec/PerfPowerServices
root               366   0.0  0.1 435348992   9184   ??  Ss   11:41AM   0:12.49 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
root               332   0.0  0.1 435358368  10912   ??  Ss   11:41AM   0:06.97 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
root               398   0.0  0.1 435357776   6608   ??  Ss   11:41AM   0:01.76 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
root               335   0.0  0.1 435353312   6192   ??  Ss   11:41AM   0:02.39 /usr/sbin/systemstats --daemon
root               363   0.0  0.0 435305712   1360   ??  Ss   11:41AM   0:01.06 /usr/sbin/syslogd
root               339   0.0  0.1 435344368   4992   ??  Ss   11:41AM   0:11.75 /usr/libexec/configd
root               378   0.0  0.0 435300768   2032   ??  Ss   11:41AM   0:00.05 autofsd
root               380   0.0  0.0 435306256   2656   ??  Ss   11:41AM   0:00.10 /System/Library/PrivateFrameworks/Heimdal.framework/Helpers/kdc
root               389   0.0  0.0 435305424   1440   ??  Ss   11:41AM   0:00.04 /usr/sbin/KernelEventAgent
root               397   0.0  0.1 435340016   5632   ??  Ss   11:41AM   0:01.15 /usr/libexec/AirPlayXPCHelper
root               356   0.0  0.2 435393456  14496   ??  Ss   11:41AM   1:41.27 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
root               365   0.0  0.0 435338880   3792   ??  Ss   11:41AM   0:02.65 /usr/libexec/thermalmonitord
root               381   0.0  0.0 435342832   3168   ??  Ss   11:41AM   0:00.08 /usr/libexec/corerepaird
root               346   0.0  0.0 435339440   2720   ??  Ss   11:41AM   0:00.26 /usr/libexec/remoted
root               352   0.0  0.0 435305568   2832   ??  Ss   11:41AM   0:00.68 /usr/libexec/watchdogd
root               393   0.0  0.2 435364560  19728   ??  Ss   11:41AM   0:09.00 /usr/sbin/bluetoothd
root               369   0.0  0.1 435418560  10272   ??  Ss   11:41AM   0:10.43 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
root               341   0.0  0.1 435340848   7824   ??  Ss   11:41AM   0:14.36 /System/Library/CoreServices/powerd.bundle/powerd
root               379   0.0  0.2 435346976  13136   ??  Ss   11:41AM   0:29.54 /usr/libexec/dasd
root               373   0.0  0.1 435341248   4960   ??  Ss   11:41AM   0:02.83 /usr/sbin/securityd -i
root               394   0.0  0.0 435305072   2800   ??  Ss   11:41AM   0:13.75 /usr/sbin/notifyd
root               387   0.0  0.0 435305296   2768   ??  Ss   11:41AM   0:00.22 /System/Library/CoreServices/logind
root               359   0.0  0.1 435338496   4560   ??  Ss   11:41AM   0:04.88 /usr/libexec/diskarbitrationd
root               358   0.0  0.0 435342592   3648   ??  Ss   11:41AM   0:01.15 /usr/libexec/kernelmanagerd
root               367   0.0  0.1 435345008   7904   ??  Ss   11:41AM   0:34.24 /usr/libexec/opendirectoryd
root               329   0.0  0.1 435349136   7808   ??  Ss   11:41AM   0:03.44 /usr/libexec/UserEventAgent (System)
root             12056   0.0  0.0 435300256   1552 s004  R+   10:02PM   0:00.00 ps aux
root                 1   0.0  0.1 435242080  11280   ??  Ss   11:41AM   1:35.53 /sbin/launchd
mdkaif           12045   0.0  0.0 435299552   1744 s004  S+   10:02PM   0:00.02 /bin/bash ./system_info.sh
mdkaif           12007   0.0  0.1 435342832  12560   ??  S    10:02PM   0:00.23 cloudphotod
mdkaif           11981   0.0  0.1 435340208  11280   ??  S    10:01PM   0:00.12 /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd
mdkaif           11980   0.0  0.0 435367344   2592   ??  Ss   10:01PM   0:00.02 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
mdkaif           11979   0.0  0.1 435547216   9056   ??  S    10:01PM   0:00.12 /System/Library/CoreServices/ScopedBookmarkAgent
mdkaif           11978   0.0  0.3 435359328  24992   ??  S    10:01PM   0:00.62 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
mdkaif           11977   0.0  0.2 435348048  15472   ??  S    10:01PM   0:00.26 /System/Library/PrivateFrameworks/MediaAnalysis.framework/Versions/A/mediaanalysisd
mdkaif           11976   0.0  0.2 435287536  12704   ??  Ss   10:01PM   0:00.20 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
mdkaif           11975   0.0  0.1 435353344   9888   ??  Ss   10:01PM   0:00.04 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
mdkaif           11972   0.0  0.2 435384608  20016   ??  Ss   10:01PM   0:00.08 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/ThemeWidgetControlViewService.xpc/Contents/MacOS/ThemeWidgetControlViewService
mdkaif           11971   0.0  0.2 435446800  19824   ??  S    10:01PM   0:00.16 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
root             11970   0.0  0.0 435301088    528   ??  Ss   10:01PM   0:00.01 /usr/libexec/dirhelper
root             11969   0.0  0.0 435305472   1616   ??  Ss   10:01PM   0:00.05 /usr/libexec/logd_helper
mdkaif           11968   0.0  0.1 435304496   5472   ??  S    10:01PM   0:00.12 /System/Library/PrivateFrameworks/IntelligenceFlowRuntime.framework/Versions/A/intelligenceflowd
mdkaif           11966   0.0  0.4 435532096  30544   ??  S    10:01PM   0:00.18 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
_biome           11967   0.0  0.1 435338624   8656   ??  Ss   10:01PM   0:00.18 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
